====================================================================================================
Running Python 3.10.12 (main, Jan 26 2026, 14:55:28) [GCC 11.4.0]
Running PyTorch 2.10.0+cu128 compiled for CUDA 12.8
Running Triton version 3.6.0
Fri Feb 20 21:50:41 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:04:00.0 Off |                  Off |
| N/A   25C    P0            112W /  700W |    1185MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A           13134      C   /usr/bin/python3                       1176MiB |
+-----------------------------------------------------------------------------------------+

====================================================================================================
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 495, 496, 497, 498, 991, 992, 993, 994, 1488, 1489, 1490, 1491] for warmup
step:145/1530, train_time:34342ms, step_avg:236.84ms, train loss:76.3039,  lr:1.0
step:146/1530, train_time:34578ms, step_avg:236.84ms, train loss:74.0502,  lr:1.0
step:147/1530, train_time:34816ms, step_avg:236.84ms, train loss:74.4012,  lr:1.0
step:148/1530, train_time:35051ms, step_avg:236.83ms, train loss:74.1842,  lr:1.0
step:149/1530, train_time:35288ms, step_avg:236.83ms, train loss:74.6867,  lr:1.0
step:150/1530, train_time:35523ms, step_avg:236.82ms, train loss:74.5921,  lr:1.0
step:150/1530 val_loss:4.7957 train_time:35543ms step_avg:236.95ms
step:151/1530, train_time:35761ms, step_avg:236.83ms, train loss:73.7041,  lr:1.0
step:152/1530, train_time:35995ms, step_avg:236.81ms, train loss:73.0291,  lr:1.0
step:153/1530, train_time:36231ms, step_avg:236.80ms, train loss:74.4443,  lr:1.0
step:154/1530, train_time:36469ms, step_avg:236.81ms, train loss:74.4062,  lr:1.0
step:155/1530, train_time:36708ms, step_avg:236.83ms, train loss:74.5562,  lr:1.0
step:156/1530, train_time:36942ms, step_avg:236.81ms, train loss:73.6024,  lr:1.0
step:157/1530, train_time:37177ms, step_avg:236.80ms, train loss:73.5129,  lr:1.0
step:158/1530, train_time:37413ms, step_avg:236.79ms, train loss:73.5542,  lr:1.0
step:159/1530, train_time:37651ms, step_avg:236.80ms, train loss:74.4598,  lr:1.0
step:160/1530, train_time:37887ms, step_avg:236.79ms, train loss:73.7818,  lr:1.0
step:161/1530, train_time:38124ms, step_avg:236.80ms, train loss:72.7214,  lr:1.0
step:162/1530, train_time:38360ms, step_avg:236.79ms, train loss:72.9131,  lr:1.0
step:163/1530, train_time:38596ms, step_avg:236.79ms, train loss:73.7940,  lr:1.0
step:164/1530, train_time:38833ms, step_avg:236.79ms, train loss:73.5968,  lr:1.0
step:165/1530, train_time:39070ms, step_avg:236.79ms, train loss:73.3640,  lr:1.0
step:166/1530, train_time:39305ms, step_avg:236.78ms, train loss:73.4858,  lr:1.0
step:167/1530, train_time:39542ms, step_avg:236.78ms, train loss:72.8969,  lr:1.0
step:168/1530, train_time:39779ms, step_avg:236.78ms, train loss:72.5877,  lr:1.0
step:169/1530, train_time:40016ms, step_avg:236.78ms, train loss:73.5167,  lr:1.0
step:170/1530, train_time:40252ms, step_avg:236.78ms, train loss:72.6945,  lr:1.0
step:171/1530, train_time:40489ms, step_avg:236.78ms, train loss:73.5775,  lr:1.0
step:172/1530, train_time:40726ms, step_avg:236.78ms, train loss:72.5212,  lr:1.0
step:173/1530, train_time:40963ms, step_avg:236.78ms, train loss:72.0146,  lr:1.0
step:174/1530, train_time:41198ms, step_avg:236.77ms, train loss:72.6242,  lr:1.0
step:175/1530, train_time:41435ms, step_avg:236.77ms, train loss:72.6263,  lr:1.0
step:176/1530, train_time:41671ms, step_avg:236.77ms, train loss:72.8721,  lr:1.0
step:177/1530, train_time:41909ms, step_avg:236.77ms, train loss:72.6305,  lr:1.0
step:178/1530, train_time:42144ms, step_avg:236.76ms, train loss:72.5724,  lr:1.0
step:179/1530, train_time:42379ms, step_avg:236.75ms, train loss:72.6376,  lr:1.0
step:180/1530, train_time:42614ms, step_avg:236.75ms, train loss:72.5943,  lr:1.0
step:181/1530, train_time:42853ms, step_avg:236.76ms, train loss:72.6519,  lr:1.0
step:182/1530, train_time:43089ms, step_avg:236.75ms, train loss:72.6399,  lr:1.0
step:183/1530, train_time:43325ms, step_avg:236.75ms, train loss:71.5515,  lr:1.0
step:184/1530, train_time:43560ms, step_avg:236.74ms, train loss:72.1843,  lr:1.0
