====================================================================================================
Running Python 3.10.12 (main, Jan 26 2026, 14:55:28) [GCC 11.4.0]
Running PyTorch 2.10.0+cu128 compiled for CUDA 12.8
Running Triton version 3.6.0
Fri Feb 20 23:44:09 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:04:00.0 Off |                  Off |
| N/A   26C    P0            111W /  700W |    1185MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A           16846      C   /usr/bin/python3                       1176MiB |
+-----------------------------------------------------------------------------------------+

====================================================================================================
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 338, 339, 340, 341, 678, 679, 680, 681, 1018, 1019, 1020, 1021] for warmup
Resetting Model
step:131/1530, train_time:31.0ms, step_avg:236.71ms, train loss:73.52,  lr:1.00
step:132/1530, train_time:31.2ms, step_avg:236.70ms, train loss:74.14,  lr:1.00
step:133/1530, train_time:31.5ms, step_avg:236.71ms, train loss:73.89,  lr:1.00
step:134/1530, train_time:31.7ms, step_avg:236.70ms, train loss:73.72,  lr:1.00
step:135/1530, train_time:32.0ms, step_avg:236.70ms, train loss:73.98,  lr:1.00
step:136/1530, train_time:32.2ms, step_avg:236.69ms, train loss:73.34,  lr:1.00
step:137/1530, train_time:32.4ms, step_avg:236.69ms, train loss:73.35,  lr:1.00
step:138/1530, train_time:32.7ms, step_avg:236.68ms, train loss:74.14,  lr:1.00
step:139/1530, train_time:32.9ms, step_avg:236.68ms, train loss:73.82,  lr:1.00
step:140/1530, train_time:33.1ms, step_avg:236.68ms, train loss:74.03,  lr:1.00
step:141/1530, train_time:33.4ms, step_avg:236.67ms, train loss:72.41,  lr:1.00
step:142/1530, train_time:33.6ms, step_avg:236.66ms, train loss:72.18,  lr:1.00
step:143/1530, train_time:33.8ms, step_avg:236.67ms, train loss:73.18,  lr:1.00
step:144/1530, train_time:34.1ms, step_avg:236.65ms, train loss:72.91,  lr:1.00
step:145/1530, train_time:34.3ms, step_avg:236.65ms, train loss:74.15,  lr:1.00
step:146/1530, train_time:34.5ms, step_avg:236.64ms, train loss:72.01,  lr:1.00
step:147/1530, train_time:34.8ms, step_avg:236.64ms, train loss:72.37,  lr:1.00
step:148/1530, train_time:35.0ms, step_avg:236.63ms, train loss:72.17,  lr:1.00
step:149/1530, train_time:35.3ms, step_avg:236.63ms, train loss:72.55,  lr:1.00
step:150/1530, train_time:35.5ms, step_avg:236.62ms, train loss:72.53,  lr:1.00
step:150/1530 val_loss:4.7956 train_time:35513ms step_avg:236.75ms
step:151/1530, train_time:35.7ms, step_avg:236.63ms, train loss:71.80,  lr:1.00
step:152/1530, train_time:36.0ms, step_avg:236.61ms, train loss:70.91,  lr:1.00
step:153/1530, train_time:36.2ms, step_avg:236.61ms, train loss:72.26,  lr:1.00
step:154/1530, train_time:36.4ms, step_avg:236.61ms, train loss:72.26,  lr:1.00
step:155/1530, train_time:36.7ms, step_avg:236.61ms, train loss:72.29,  lr:1.00
step:156/1530, train_time:36.9ms, step_avg:236.59ms, train loss:71.40,  lr:1.00
step:157/1530, train_time:37.1ms, step_avg:236.58ms, train loss:71.24,  lr:1.00
step:158/1530, train_time:37.4ms, step_avg:236.59ms, train loss:71.28,  lr:1.00
step:159/1530, train_time:37.6ms, step_avg:236.59ms, train loss:72.32,  lr:1.00
step:160/1530, train_time:37.9ms, step_avg:236.57ms, train loss:71.59,  lr:1.00
step:161/1530, train_time:38.1ms, step_avg:236.57ms, train loss:70.51,  lr:1.00
step:162/1530, train_time:38.3ms, step_avg:236.56ms, train loss:70.72,  lr:1.00
step:163/1530, train_time:38.6ms, step_avg:236.56ms, train loss:71.59,  lr:1.00
step:164/1530, train_time:38.8ms, step_avg:236.55ms, train loss:71.30,  lr:1.00
step:165/1530, train_time:39.0ms, step_avg:236.55ms, train loss:71.00,  lr:1.00
step:166/1530, train_time:39.3ms, step_avg:236.54ms, train loss:71.16,  lr:1.00
step:167/1530, train_time:39.5ms, step_avg:236.54ms, train loss:70.65,  lr:1.00
step:168/1530, train_time:39.7ms, step_avg:236.53ms, train loss:70.29,  lr:1.00
step:169/1530, train_time:40.0ms, step_avg:236.52ms, train loss:71.02,  lr:1.00
step:170/1530, train_time:40.2ms, step_avg:236.51ms, train loss:70.30,  lr:1.00
step:171/1530, train_time:40.4ms, step_avg:236.51ms, train loss:71.27,  lr:1.00
step:172/1530, train_time:40.7ms, step_avg:236.50ms, train loss:70.15,  lr:1.00
step:173/1530, train_time:40.9ms, step_avg:236.49ms, train loss:69.57,  lr:1.00
step:174/1530, train_time:41.1ms, step_avg:236.48ms, train loss:70.27,  lr:1.00
step:175/1530, train_time:41.4ms, step_avg:236.48ms, train loss:70.25,  lr:1.00
step:176/1530, train_time:41.6ms, step_avg:236.48ms, train loss:70.39,  lr:1.00
step:177/1530, train_time:41.9ms, step_avg:236.48ms, train loss:70.18,  lr:1.00
step:178/1530, train_time:42.1ms, step_avg:236.47ms, train loss:70.06,  lr:1.00
step:179/1530, train_time:42.3ms, step_avg:236.47ms, train loss:70.18,  lr:1.00
step:180/1530, train_time:42.6ms, step_avg:236.47ms, train loss:70.11,  lr:1.00
step:181/1530, train_time:42.8ms, step_avg:236.47ms, train loss:70.25,  lr:1.00
step:182/1530, train_time:43.0ms, step_avg:236.46ms, train loss:70.13,  lr:1.00
step:183/1530, train_time:43.3ms, step_avg:236.47ms, train loss:68.86,  lr:1.00
step:184/1530, train_time:43.5ms, step_avg:236.46ms, train loss:69.62,  lr:1.00
step:185/1530, train_time:43.7ms, step_avg:236.45ms, train loss:69.13,  lr:1.00
step:186/1530, train_time:44.0ms, step_avg:236.44ms, train loss:69.63,  lr:1.00
step:187/1530, train_time:44.2ms, step_avg:236.44ms, train loss:69.17,  lr:1.00
step:188/1530, train_time:44.4ms, step_avg:236.43ms, train loss:68.06,  lr:1.00
step:189/1530, train_time:44.7ms, step_avg:236.43ms, train loss:69.24,  lr:1.00
step:190/1530, train_time:44.9ms, step_avg:236.42ms, train loss:68.41,  lr:1.00
step:191/1530, train_time:45.2ms, step_avg:236.43ms, train loss:69.55,  lr:1.00
step:192/1530, train_time:45.4ms, step_avg:236.41ms, train loss:68.33,  lr:1.00
step:193/1530, train_time:45.6ms, step_avg:236.41ms, train loss:69.00,  lr:1.00
step:194/1530, train_time:45.9ms, step_avg:236.40ms, train loss:68.47,  lr:1.00
step:195/1530, train_time:46.1ms, step_avg:236.40ms, train loss:69.24,  lr:1.00
step:196/1530, train_time:46.3ms, step_avg:236.40ms, train loss:68.96,  lr:1.00
step:197/1530, train_time:46.6ms, step_avg:236.43ms, train loss:69.67,  lr:1.00
